Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,actionCategry
559,468,93,132,58,1289,1678,1277,0
471,382,66,130,58,1206,1475,1275,0
427,386,50,120,56,985,1293,1146,0
413,353,44,82,54,775,998,974,0
395,328,40,60,40,239,724,456,0
310,332,41,38,46,90,347,249,0
272,295,71,35,41,70,154,251,0
182,319,72,34,45,59,85,242,0
184,341,83,36,46,58,56,239,0
236,311,97,35,41,95,46,224,0
238,316,130,44,36,113,310,225,0
229,563,118,58,37,164,415,191,0
219,681,117,58,31,178,420,170,0
201,725,113,57,29,214,424,162,0
137,746,246,56,33,204,430,191,1
137,739,473,48,39,201,302,181,1
146,560,824,29,44,166,195,204,1
169,423,921,35,50,182,234,214,1
197,316,1051,41,52,140,279,208,1
201,613,1222,42,50,135,274,183,1
242,758,1207,45,49,153,274,179,1
251,914,1040,53,60,152,238,136,1
265,1083,1118,54,61,113,188,118,1
247,1139,1238,50,59,113,105,115,1
314,1106,1304,60,61,115,103,119,1
295,1037,1500,75,59,80,115,136,1
348,911,1725,74,72,83,106,129,1
324,680,1744,79,75,80,106,131,1
335,581,1592,79,76,77,102,157,1
362,311,1392,73,76,73,111,177,1
362,182,1128,67,76,66,105,192,1
303,158,695,82,51,64,115,205,1
300,147,318,87,45,66,122,233,1
294,150,350,95,49,73,141,253,1
167,146,417,115,52,68,134,242,1
151,148,431,134,59,69,138,258,1
142,265,497,144,69,68,129,330,1
147,424,590,166,72,63,128,326,1
133,503,590,184,77,51,104,321,1
128,532,554,176,84,55,102,329,1
112,555,581,163,79,52,93,327,1
96,508,561,149,73,44,87,267,1
94,389,481,129,75,46,98,437,1
86,285,450,112,67,45,103,440,1
78,225,441,126,63,41,105,446,1
88,162,468,135,71,42,104,455,1
79,189,498,137,69,39,101,451,1
77,210,542,144,63,44,78,283,1
82,203,586,194,78,73,90,337,1
87,234,686,264,101,74,117,444,1
107,277,634,258,95,83,135,458,1
120,292,631,265,114,184,150,462,1
303,423,622,262,122,195,151,456,1
359,898,577,224,120,193,141,407,1
468,1101,499,177,107,197,149,371,1
582,1304,557,293,117,196,142,340,1
628,1311,510,318,127,161,131,332,1
602,1296,486,334,156,171,132,334,1
656,1045,495,420,185,172,138,340,1
661,838,470,465,197,168,101,225,1
574,527,385,415,194,169,82,184,1
528,496,349,394,179,122,73,194,1
541,429,276,379,149,90,73,206,1
544,434,213,283,103,140,64,192,1
471,422,133,159,64,143,62,184,1
459,357,137,124,60,141,68,196,1
480,424,133,124,72,140,70,174,1
502,502,155,178,95,142,71,168,1
464,629,215,312,138,142,79,166,1
470,732,290,343,197,153,80,159,1
596,727,447,427,258,164,81,147,1
737,696,486,461,481,221,86,177,1
771,657,641,463,533,225,85,220,1
838,545,715,440,583,208,208,384,1
861,432,907,457,637,258,376,687,1
795,515,981,454,660,265,430,809,1
748,778,1113,470,598,258,515,965,1
675,899,1183,559,585,268,585,1112,1
554,1114,1193,597,590,268,641,1270,1
549,1100,1178,690,625,265,588,1276,1
565,1054,1288,741,694,303,561,1247,1
455,870,1242,773,779,287,498,1223,1
463,726,1198,757,818,308,481,1172,1
488,209,1209,756,868,345,414,1069,1
450,139,1149,774,917,349,412,1040,1
428,112,1042,735,879,315,446,1150,1
427,97,1058,700,828,323,457,1108,1
428,81,1062,709,930,322,446,1147,1
419,68,1152,735,918,349,472,1174,1
500,69,1227,698,850,341,556,1218,1
519,63,1169,737,851,374,542,1210,1
515,64,1172,756,908,410,568,1211,1
517,57,1163,714,792,393,539,1188,1
537,57,1066,680,754,332,478,1138,1
464,55,1033,614,723,345,354,1015,1
430,55,1090,516,782,316,392,926,1
415,53,1064,487,705,300,333,966,1
443,56,1045,520,690,306,416,1011,1
379,55,1153,562,684,314,435,954,1
349,53,1174,559,692,270,436,976,1
366,59,1132,602,666,267,412,1068,1
413,57,1135,609,622,221,486,1094,1
332,53,1171,580,607,208,402,956,1
366,56,1136,536,620,211,466,1131,1
371,56,1090,514,589,211,469,1155,1
354,52,1098,495,500,202,436,1040,1
289,55,1138,491,453,186,355,964,1
325,54,1127,487,470,198,363,995,1
269,50,1068,434,384,182,244,827,1
258,53,1020,446,423,170,212,711,1
230,53,1063,404,485,171,208,748,1
242,55,979,363,502,173,193,768,1
216,56,928,334,462,147,186,775,1
200,57,879,309,483,156,175,705,1
216,55,840,266,449,158,255,831,1
225,54,737,285,345,136,261,843,1
211,49,729,266,390,132,275,868,1
198,49,902,270,386,142,274,875,1
211,48,932,275,372,116,272,918,1
208,60,1008,316,404,112,212,844,1
196,58,1121,369,467,129,248,931,1
196,58,1150,373,428,126,253,914,1
210,58,1059,355,422,109,244,893,1
202,58,1085,349,425,107,242,880,1
215,43,1104,359,435,144,312,951,1
243,44,977,294,420,147,308,926,1
237,42,941,289,417,152,298,909,1
212,41,938,295,459,158,301,890,1
211,39,863,294,440,165,308,889,1
194,41,749,282,407,143,273,847,1
167,38,788,283,368,131,303,858,1
153,47,859,280,358,133,287,810,1
166,47,836,309,324,124,298,846,1
166,46,810,325,328,116,299,874,1
142,43,822,278,293,115,249,798,1
130,43,911,262,276,106,174,618,1
139,39,850,318,325,94,177,629,1
132,61,843,303,291,103,170,648,1
127,94,872,286,278,100,149,548,1
130,99,903,306,284,83,145,520,1
119,133,793,305,266,88,143,538,1
139,152,775,249,193,89,160,633,1
132,167,693,221,206,75,133,548,1
127,161,733,235,317,89,128,540,1
126,165,743,234,315,93,136,581,1
143,150,705,219,317,87,124,597,1
134,136,798,206,330,89,96,469,1
136,117,836,215,349,89,93,456,1
168,144,818,200,316,100,140,561,1
187,163,792,186,311,104,165,638,1
180,165,811,177,307,104,166,604,1
177,179,752,176,282,101,166,622,1
175,186,749,177,272,111,178,630,1
152,170,788,205,211,97,158,632,1
123,166,865,193,247,99,138,563,1
118,169,830,191,261,106,137,550,1
116,179,794,203,281,111,153,565,1
132,200,840,194,268,104,151,578,1
126,218,819,143,256,97,143,469,1
129,234,692,145,234,85,132,410,1
133,233,780,179,271,75,139,482,1
151,216,813,177,246,70,130,453,1
140,210,724,169,221,62,116,445,1
143,201,717,168,228,69,108,461,1
152,177,707,157,220,74,115,492,1
151,179,627,166,185,89,128,506,1
131,180,590,166,203,84,118,505,1
142,177,617,178,232,94,123,516,1
159,189,546,202,248,105,163,665,1
152,203,590,217,278,105,160,659,1
143,216,564,188,265,102,142,587,1
158,225,550,176,252,106,148,611,1
157,212,574,191,231,96,151,607,1
139,201,653,183,233,86,112,429,1
136,223,597,176,216,104,105,404,1
142,203,697,174,212,94,105,417,1
117,195,683,182,214,96,122,436,1
108,210,644,159,206,116,114,429,1
101,223,578,145,181,115,114,426,1
110,189,764,145,148,99,125,499,1
123,208,661,147,161,100,145,567,1
118,221,707,167,165,95,121,509,1
116,221,739,165,170,85,119,497,1
144,242,740,161,176,87,118,541,1
138,277,568,145,171,93,148,635,1
127,278,560,144,165,94,134,574,1
131,289,552,171,270,93,133,568,1
137,316,562,233,354,97,146,664,1
142,305,617,233,354,97,157,707,1
143,288,620,234,369,102,120,580,1
139,281,727,234,363,103,114,587,1
139,271,750,192,312,109,124,607,1
136,245,688,97,218,104,126,536,1
125,239,636,128,229,108,125,466,1
118,232,657,141,228,98,125,467,1
123,256,612,160,302,107,126,527,1
135,257,518,158,283,110,130,542,1
137,248,560,181,288,102,113,504,1
117,242,525,170,277,96,98,486,1
130,233,505,172,290,102,95,477,1
157,216,446,164,231,88,96,416,1
155,209,469,162,228,75,80,386,1
153,213,583,171,224,84,80,366,1
157,208,656,166,305,101,80,408,1
179,213,709,175,285,99,94,478,1
162,209,699,162,303,112,100,536,1
156,238,695,176,340,144,103,543,1
151,232,629,149,397,155,107,584,1
153,221,586,173,443,153,112,579,1
136,219,521,162,446,155,108,532,1
122,221,600,170,429,149,103,465,1
116,206,657,188,468,139,97,429,1
119,206,651,196,443,147,124,513,1
123,209,669,186,358,144,122,481,1
100,250,735,183,372,137,115,462,1
107,243,714,188,368,139,113,459,1
119,242,756,179,338,132,116,503,1
124,256,730,188,330,108,88,390,1
120,266,687,177,319,98,83,406,1
120,219,613,171,296,98,88,416,1
131,241,606,174,351,96,96,414,1
143,237,533,176,396,90,98,458,1
141,238,537,203,465,81,89,438,1
129,227,602,207,476,84,87,408,1
129,242,620,217,494,93,95,444,1
119,260,594,234,492,98,91,476,1
109,256,582,215,419,98,96,450,1
112,251,557,181,371,107,99,441,1
119,257,568,177,396,111,98,494,1
125,262,519,165,378,107,108,515,1
125,240,495,124,342,108,112,543,1
109,222,508,150,403,106,103,485,1
103,209,559,187,358,112,104,505,1
126,201,523,212,331,114,126,530,1
131,190,536,217,326,111,113,499,1
132,181,607,239,384,120,113,458,1
133,224,642,246,373,123,116,464,1
141,246,688,225,382,114,118,477,1
148,257,647,210,375,116,106,456,1
147,253,702,215,384,119,102,443,1
141,253,685,197,323,106,95,440,1
145,230,647,186,302,103,110,518,1
150,203,544,165,311,100,109,543,1
124,197,545,166,373,105,105,513,1
116,254,550,175,381,104,110,548,1
141,293,506,208,441,123,119,542,1
138,334,503,200,420,131,125,564,1
127,351,544,200,410,134,120,513,1
125,392,563,184,380,140,131,528,1
148,387,487,182,444,154,135,522,1
131,394,497,143,426,145,139,596,1
134,370,551,133,415,135,116,499,1
129,358,553,144,411,132,123,522,1
133,338,611,151,402,116,118,532,1
118,331,625,133,339,95,109,508,1
110,377,628,119,277,83,93,451,1
104,363,558,141,298,90,95,446,1
127,367,550,137,329,104,94,416,1
125,360,486,143,355,107,77,352,1
123,358,554,181,353,106,87,409,1
124,261,545,201,411,105,92,374,1
125,274,643,202,438,125,95,389,1
102,299,638,226,466,122,101,451,1
115,279,650,216,424,124,120,535,1
112,275,592,197,450,140,117,524,1
117,287,587,210,459,143,116,520,1
121,274,476,232,489,133,117,545,1
133,237,473,221,448,125,127,585,1
182,290,433,226,448,120,129,641,1
185,296,485,224,436,109,127,621,1
185,284,482,197,392,120,127,607,1
198,289,524,155,301,117,169,718,1
193,295,533,193,324,120,161,695,1
134,259,606,202,376,143,149,596,1
149,254,587,215,339,142,149,583,1
154,259,586,230,364,136,160,629,1
146,287,515,230,381,135,118,524,2
165,304,515,184,405,137,123,498,2
165,284,484,179,457,126,122,502,2
142,295,474,147,455,122,131,540,2
147,284,477,142,479,127,120,491,2
131,260,522,145,502,125,112,458,2
102,257,516,157,553,128,99,431,2
113,287,519,146,484,118,118,494,2
117,268,560,149,492,113,107,452,2
106,299,599,159,465,142,111,477,2
115,287,604,160,440,138,115,470,2
125,333,591,150,356,140,139,536,2
143,329,541,175,433,140,131,495,2
146,329,482,206,466,148,143,514,2
146,308,457,239,617,118,144,508,2
146,383,484,244,681,124,151,503,2
153,367,578,242,697,120,131,427,2
127,369,686,239,655,120,126,409,2
129,374,688,233,645,124,109,361,2
143,396,692,193,529,127,114,440,2
140,423,671,196,441,127,136,499,2
126,437,576,211,422,122,145,611,2
124,435,491,205,435,120,141,608,2
127,451,497,188,457,111,144,618,2
122,457,457,166,387,106,134,571,2
120,390,483,166,395,104,104,546,2
116,385,534,167,412,102,91,447,2
132,428,513,161,439,120,109,516,2
133,413,506,189,384,122,115,646,2
124,399,515,201,409,122,113,630,2
127,394,449,189,393,119,125,660,2
132,355,382,208,333,118,138,683,2
139,319,352,230,276,105,135,670,2
314,301,284,215,272,344,140,536,2
361,294,239,220,272,473,146,521,2
385,276,210,258,262,578,141,436,2
432,415,172,236,246,583,122,326,2
570,583,153,388,233,662,138,168,2
592,625,180,455,267,587,128,170,2
605,938,170,521,224,498,122,164,2
617,1243,166,518,220,385,112,155,2
725,1253,165,527,234,396,115,169,2
702,1418,162,431,204,253,78,169,2
687,1458,141,453,153,241,77,158,2
674,1292,144,387,150,224,71,159,2
739,1018,137,384,154,198,67,162,2
625,960,134,365,121,166,65,150,2
650,597,128,379,121,154,59,147,2
695,436,95,258,106,141,59,148,2
815,408,77,246,100,133,64,148,2
801,411,82,224,90,142,61,141,2
835,412,85,252,105,170,63,139,2
847,389,88,215,99,173,61,125,2
794,390,80,201,102,167,54,105,2
737,455,94,194,100,167,53,119,2
738,436,86,250,91,157,56,120,2
689,423,80,235,71,127,49,115,2
565,391,73,218,70,108,47,114,2
538,413,70,216,59,102,48,138,2
450,310,54,213,52,93,40,114,2
377,301,57,132,39,91,35,110,2
381,299,55,107,34,66,35,110,2
401,308,52,102,35,59,36,106,2
381,280,56,107,40,38,30,59,2
344,285,50,77,36,44,31,57,2
288,251,43,84,41,51,34,51,2
266,253,41,96,48,68,34,49,2
244,216,40,98,49,71,34,50,2
226,314,40,90,46,71,34,55,2
254,353,40,89,51,67,35,66,2
246,365,41,71,49,67,33,65,2
238,394,41,49,41,49,33,65,2
219,413,47,43,41,47,32,64,2
223,375,52,46,41,45,31,61,2
230,338,55,43,34,46,29,48,2
238,369,54,44,33,39,27,47,2
259,333,54,43,34,37,26,48,2
281,289,49,37,34,38,28,51,2
311,278,41,44,36,40,27,48,2
304,280,37,45,36,41,29,47,2
302,232,38,49,34,37,28,44,2
290,242,37,48,44,47,28,38,2
297,239,37,56,46,48,27,46,2
298,192,35,45,45,46,27,48,2
302,238,41,47,44,46,25,55,2
325,242,43,44,52,48,29,60,2
